Feature,Type,Missing_Pct,Cardinality,Category,Decision,Reason
V217,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V218,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V219,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V220,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V221,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V222,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V223,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V224,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V225,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V226,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V227,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V228,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V229,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V230,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V231,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V232,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V233,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V234,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V235,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V236,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V237,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V238,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V239,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V240,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V241,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V242,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V243,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V244,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V245,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V246,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V247,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V248,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V249,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V250,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V251,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V252,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V253,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V254,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V255,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V256,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V257,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V258,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V259,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V260,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V261,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V262,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V263,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V264,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V265,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V266,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V267,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V268,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V269,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V270,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V271,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V272,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V273,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V274,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V275,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V276,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V277,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V278,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V279,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V280,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V281,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V282,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V283,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V284,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V285,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V286,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V287,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V288,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V289,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V290,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V291,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V292,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V293,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V294,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V295,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V296,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V297,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V298,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V299,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V300,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V301,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V302,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V303,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V304,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V305,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V306,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V307,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V308,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V309,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V310,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V311,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V312,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V313,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V314,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V315,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V316,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V317,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V318,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V319,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V320,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V321,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V322,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V323,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V324,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V325,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V326,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V327,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V328,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V329,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V330,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V331,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V332,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V333,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V334,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V335,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V336,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V337,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V338,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V339,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
id_01,float64,0.0,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_02,float64,2.5,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_03,float64,54.2,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_04,float64,54.2,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_05,float64,5.2,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_06,float64,5.2,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_07,float64,96.4,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_08,float64,96.4,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_09,float64,46.1,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_10,float64,46.1,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_11,float64,2.5,continuous,numeric_identity_score,INCLUDE,Numeric risk/identity score from device/browser fingerprint. Safe.
id_12,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_13,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_14,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_15,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_16,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_17,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_18,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_19,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_20,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_21,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_22,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_23,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_24,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_25,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_26,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_27,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_28,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_29,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_30,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_31,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_32,float64,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_33,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_34,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_35,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_36,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_37,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_38,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
id_39,str,varies,varies,categorical_identity,INCLUDE,"Categorical identity/device/OS/browser feature. Safe, freq-encoded."
DeviceType,str,75.6,2,device,INCLUDE,"Mobile vs desktop, safe."
DeviceInfo,str,75.6,high,device,INCLUDE,"Device string, freq-encoded to suppress OOV."
card_count_1h,float64,0.0,continuous,causal_velocity,INCLUDE,Computed with strict t_hist < t_target. Leakage-free. Numba-accelerated.
card_count_24h,float64,0.0,continuous,causal_velocity,INCLUDE,Computed with strict t_hist < t_target. Leakage-free. Numba-accelerated.
card_count_7d,float64,0.0,continuous,causal_velocity,INCLUDE,Computed with strict t_hist < t_target. Leakage-free. Numba-accelerated.
card_sum_24h,float64,0.0,continuous,causal_velocity,INCLUDE,Computed with strict t_hist < t_target. Leakage-free. Numba-accelerated.
dev_count_1h,float64,0.0,continuous,causal_velocity,INCLUDE,Computed with strict t_hist < t_target. Leakage-free. Numba-accelerated.
dev_count_24h,float64,0.0,continuous,causal_velocity,INCLUDE,Computed with strict t_hist < t_target. Leakage-free. Numba-accelerated.
dev_count_7d,float64,0.0,continuous,causal_velocity,INCLUDE,Computed with strict t_hist < t_target. Leakage-free. Numba-accelerated.
dev_sum_24h,float64,0.0,continuous,causal_velocity,INCLUDE,Computed with strict t_hist < t_target. Leakage-free. Numba-accelerated.
